paso,id_pedido,estado_anterior,estado_nuevo,evento
1,PED-030,Pedido Recibido,En Preparación,PED-030: Pedido Recibido -> En Preparación
1,PED-031,Pedido Recibido,En Preparación,PED-031: Pedido Recibido -> En Preparación
1,PED-032,Pedido Recibido,En Preparación,PED-032: Pedido Recibido -> En Preparación
1,PED-033,Pedido Recibido,En Preparación,PED-033: Pedido Recibido -> En Preparación
1,PED-034,Pedido Recibido,En Preparación,PED-034: Pedido Recibido -> En Preparación
1,PED-035,Pedido Recibido,En Preparación,PED-035: Pedido Recibido -> En Preparación
1,PED-036,Pedido Recibido,En Preparación,PED-036: Pedido Recibido -> En Preparación
1,PED-037,Pedido Recibido,En Preparación,PED-037: Pedido Recibido -> En Preparación
1,PED-038,Pedido Recibido,En Preparación,PED-038: Pedido Recibido -> En Preparación
1,PED-039,Pedido Recibido,En Preparación,PED-039: Pedido Recibido -> En Preparación
1,PED-040,Pedido Recibido,En Preparación,PED-040: Pedido Recibido -> En Preparación
1,PED-041,Pedido Recibido,Devuelto,PED-041: Pedido Recibido -> Devuelto
1,PED-042,Pedido Recibido,En Preparación,PED-042: Pedido Recibido -> En Preparación
1,PED-043,Pedido Recibido,En Preparación,PED-043: Pedido Recibido -> En Preparación
1,PED-044,Pedido Recibido,En Preparación,PED-044: Pedido Recibido -> En Preparación
1,PED-045,Pedido Recibido,En Preparación,PED-045: Pedido Recibido -> En Preparación
1,PED-046,Pedido Recibido,En Preparación,PED-046: Pedido Recibido -> En Preparación
1,PED-047,Pedido Recibido,En Preparación,PED-047: Pedido Recibido -> En Preparación
1,PED-048,Pedido Recibido,En Preparación,PED-048: Pedido Recibido -> En Preparación
1,PED-049,Pedido Recibido,En Preparación,PED-049: Pedido Recibido -> En Preparación
1,PED-050,Pedido Recibido,En Preparación,PED-050: Pedido Recibido -> En Preparación
1,PED-051,Pedido Recibido,En Preparación,PED-051: Pedido Recibido -> En Preparación
1,PED-052,Pedido Recibido,En Preparación,PED-052: Pedido Recibido -> En Preparación
1,PED-053,Pedido Recibido,En Preparación,PED-053: Pedido Recibido -> En Preparación
1,PED-054,Pedido Recibido,En Preparación,PED-054: Pedido Recibido -> En Preparación
1,PED-055,Pedido Recibido,Devuelto,PED-055: Pedido Recibido -> Devuelto
1,PED-056,Pedido Recibido,En Preparación,PED-056: Pedido Recibido -> En Preparación
1,PED-057,Pedido Recibido,En Preparación,PED-057: Pedido Recibido -> En Preparación
1,PED-058,Pedido Recibido,En Preparación,PED-058: Pedido Recibido -> En Preparación
1,PED-059,Pedido Recibido,En Preparación,PED-059: Pedido Recibido -> En Preparación
1,PED-060,Pedido Recibido,En Preparación,PED-060: Pedido Recibido -> En Preparación
1,PED-061,Pedido Recibido,En Preparación,PED-061: Pedido Recibido -> En Preparación
1,PED-062,Pedido Recibido,En Preparación,PED-062: Pedido Recibido -> En Preparación
1,PED-063,Pedido Recibido,En Preparación,PED-063: Pedido Recibido -> En Preparación
1,PED-064,Pedido Recibido,En Preparación,PED-064: Pedido Recibido -> En Preparación
1,PED-065,Pedido Recibido,En Preparación,PED-065: Pedido Recibido -> En Preparación
1,PED-066,Pedido Recibido,En Preparación,PED-066: Pedido Recibido -> En Preparación
1,PED-067,Pedido Recibido,En Preparación,PED-067: Pedido Recibido -> En Preparación
1,PED-068,Pedido Recibido,En Preparación,PED-068: Pedido Recibido -> En Preparación
1,PED-069,Pedido Recibido,En Preparación,PED-069: Pedido Recibido -> En Preparación
1,PED-070,Pedido Recibido,En Preparación,PED-070: Pedido Recibido -> En Preparación
1,PED-071,Pedido Recibido,En Preparación,PED-071: Pedido Recibido -> En Preparación
1,PED-072,Pedido Recibido,En Preparación,PED-072: Pedido Recibido -> En Preparación
1,PED-073,Pedido Recibido,En Preparación,PED-073: Pedido Recibido -> En Preparación
1,PED-074,Pedido Recibido,Devuelto,PED-074: Pedido Recibido -> Devuelto
1,PED-075,Pedido Recibido,En Preparación,PED-075: Pedido Recibido -> En Preparación
1,PED-076,Pedido Recibido,Devuelto,PED-076: Pedido Recibido -> Devuelto
1,PED-077,Pedido Recibido,En Preparación,PED-077: Pedido Recibido -> En Preparación
1,PED-078,Pedido Recibido,En Preparación,PED-078: Pedido Recibido -> En Preparación
1,PED-079,Pedido Recibido,En Preparación,PED-079: Pedido Recibido -> En Preparación
1,PED-080,Pedido Recibido,En Preparación,PED-080: Pedido Recibido -> En Preparación
1,PED-081,Pedido Recibido,En Preparación,PED-081: Pedido Recibido -> En Preparación
1,PED-082,Pedido Recibido,En Preparación,PED-082: Pedido Recibido -> En Preparación
1,PED-083,Pedido Recibido,En Preparación,PED-083: Pedido Recibido -> En Preparación
1,PED-084,Pedido Recibido,En Preparación,PED-084: Pedido Recibido -> En Preparación
1,PED-085,Pedido Recibido,En Preparación,PED-085: Pedido Recibido -> En Preparación
1,PED-086,Pedido Recibido,En Preparación,PED-086: Pedido Recibido -> En Preparación
1,PED-087,Pedido Recibido,En Preparación,PED-087: Pedido Recibido -> En Preparación
1,PED-088,Pedido Recibido,En Preparación,PED-088: Pedido Recibido -> En Preparación
1,PED-089,Pedido Recibido,En Preparación,PED-089: Pedido Recibido -> En Preparación
1,PED-090,Pedido Recibido,En Preparación,PED-090: Pedido Recibido -> En Preparación
1,PED-091,Pedido Recibido,En Preparación,PED-091: Pedido Recibido -> En Preparación
1,PED-092,Pedido Recibido,En Preparación,PED-092: Pedido Recibido -> En Preparación
1,PED-093,Pedido Recibido,En Preparación,PED-093: Pedido Recibido -> En Preparación
1,PED-094,Pedido Recibido,En Preparación,PED-094: Pedido Recibido -> En Preparación
1,PED-095,Pedido Recibido,En Preparación,PED-095: Pedido Recibido -> En Preparación
1,PED-096,Pedido Recibido,En Preparación,PED-096: Pedido Recibido -> En Preparación
1,PED-097,Pedido Recibido,En Preparación,PED-097: Pedido Recibido -> En Preparación
1,PED-098,Pedido Recibido,En Preparación,PED-098: Pedido Recibido -> En Preparación
1,PED-099,Pedido Recibido,En Preparación,PED-099: Pedido Recibido -> En Preparación
1,PED-100,Pedido Recibido,En Preparación,PED-100: Pedido Recibido -> En Preparación
1,PED-101,Pedido Recibido,En Preparación,PED-101: Pedido Recibido -> En Preparación
1,PED-102,Pedido Recibido,En Preparación,PED-102: Pedido Recibido -> En Preparación
1,PED-103,Pedido Recibido,En Preparación,PED-103: Pedido Recibido -> En Preparación
1,PED-104,Pedido Recibido,En Preparación,PED-104: Pedido Recibido -> En Preparación
1,PED-105,Pedido Recibido,En Preparación,PED-105: Pedido Recibido -> En Preparación
1,PED-106,Pedido Recibido,En Preparación,PED-106: Pedido Recibido -> En Preparación
1,PED-107,Pedido Recibido,Devuelto,PED-107: Pedido Recibido -> Devuelto
1,PED-108,Pedido Recibido,En Preparación,PED-108: Pedido Recibido -> En Preparación
1,PED-109,Pedido Recibido,En Preparación,PED-109: Pedido Recibido -> En Preparación
1,PED-110,Pedido Recibido,En Preparación,PED-110: Pedido Recibido -> En Preparación
1,PED-111,Pedido Recibido,En Preparación,PED-111: Pedido Recibido -> En Preparación
1,PED-112,Pedido Recibido,En Preparación,PED-112: Pedido Recibido -> En Preparación
1,PED-113,Pedido Recibido,En Preparación,PED-113: Pedido Recibido -> En Preparación
1,PED-114,Pedido Recibido,Devuelto,PED-114: Pedido Recibido -> Devuelto
1,PED-115,Pedido Recibido,Devuelto,PED-115: Pedido Recibido -> Devuelto
1,PED-116,Pedido Recibido,En Preparación,PED-116: Pedido Recibido -> En Preparación
1,PED-117,Pedido Recibido,Devuelto,PED-117: Pedido Recibido -> Devuelto
1,PED-118,Pedido Recibido,En Preparación,PED-118: Pedido Recibido -> En Preparación
1,PED-119,Pedido Recibido,En Preparación,PED-119: Pedido Recibido -> En Preparación
1,PED-120,Pedido Recibido,En Preparación,PED-120: Pedido Recibido -> En Preparación
1,PED-121,Pedido Recibido,En Preparación,PED-121: Pedido Recibido -> En Preparación
1,PED-122,Pedido Recibido,En Preparación,PED-122: Pedido Recibido -> En Preparación
1,PED-123,Pedido Recibido,En Preparación,PED-123: Pedido Recibido -> En Preparación
1,PED-124,Pedido Recibido,En Preparación,PED-124: Pedido Recibido -> En Preparación
1,PED-125,Pedido Recibido,En Preparación,PED-125: Pedido Recibido -> En Preparación
1,PED-126,Pedido Recibido,En Preparación,PED-126: Pedido Recibido -> En Preparación
1,PED-127,Pedido Recibido,En Preparación,PED-127: Pedido Recibido -> En Preparación
1,PED-128,Pedido Recibido,Devuelto,PED-128: Pedido Recibido -> Devuelto
1,PED-129,Pedido Recibido,En Preparación,PED-129: Pedido Recibido -> En Preparación
1,PED-130,Pedido Recibido,En Preparación,PED-130: Pedido Recibido -> En Preparación
1,PED-131,Pedido Recibido,En Preparación,PED-131: Pedido Recibido -> En Preparación
1,PED-132,Pedido Recibido,En Preparación,PED-132: Pedido Recibido -> En Preparación
1,PED-133,Pedido Recibido,En Preparación,PED-133: Pedido Recibido -> En Preparación
1,PED-134,Pedido Recibido,En Preparación,PED-134: Pedido Recibido -> En Preparación
1,PED-135,Pedido Recibido,En Preparación,PED-135: Pedido Recibido -> En Preparación
1,PED-136,Pedido Recibido,En Preparación,PED-136: Pedido Recibido -> En Preparación
1,PED-137,Pedido Recibido,En Preparación,PED-137: Pedido Recibido -> En Preparación
1,PED-138,Pedido Recibido,Devuelto,PED-138: Pedido Recibido -> Devuelto
1,PED-139,Pedido Recibido,En Preparación,PED-139: Pedido Recibido -> En Preparación
1,PED-140,Pedido Recibido,En Preparación,PED-140: Pedido Recibido -> En Preparación
1,PED-141,Pedido Recibido,En Preparación,PED-141: Pedido Recibido -> En Preparación
1,PED-142,Pedido Recibido,En Preparación,PED-142: Pedido Recibido -> En Preparación
1,PED-143,Pedido Recibido,En Preparación,PED-143: Pedido Recibido -> En Preparación
1,PED-144,Pedido Recibido,En Preparación,PED-144: Pedido Recibido -> En Preparación
1,PED-145,Pedido Recibido,En Preparación,PED-145: Pedido Recibido -> En Preparación
1,PED-146,Pedido Recibido,En Preparación,PED-146: Pedido Recibido -> En Preparación
1,PED-147,Pedido Recibido,En Preparación,PED-147: Pedido Recibido -> En Preparación
1,PED-148,Pedido Recibido,En Preparación,PED-148: Pedido Recibido -> En Preparación
1,PED-149,Pedido Recibido,En Preparación,PED-149: Pedido Recibido -> En Preparación
1,PED-150,Pedido Recibido,En Preparación,PED-150: Pedido Recibido -> En Preparación
1,PED-151,Pedido Recibido,En Preparación,PED-151: Pedido Recibido -> En Preparación
1,PED-152,Pedido Recibido,En Preparación,PED-152: Pedido Recibido -> En Preparación
1,PED-153,Pedido Recibido,En Preparación,PED-153: Pedido Recibido -> En Preparación
1,PED-154,Pedido Recibido,En Preparación,PED-154: Pedido Recibido -> En Preparación
1,PED-155,Pedido Recibido,En Preparación,PED-155: Pedido Recibido -> En Preparación
1,PED-156,Pedido Recibido,En Preparación,PED-156: Pedido Recibido -> En Preparación
1,PED-157,Pedido Recibido,Devuelto,PED-157: Pedido Recibido -> Devuelto
1,PED-158,Pedido Recibido,En Preparación,PED-158: Pedido Recibido -> En Preparación
1,PED-159,Pedido Recibido,En Preparación,PED-159: Pedido Recibido -> En Preparación
1,PED-160,Pedido Recibido,En Preparación,PED-160: Pedido Recibido -> En Preparación
1,PED-161,Pedido Recibido,En Preparación,PED-161: Pedido Recibido -> En Preparación
1,PED-162,Pedido Recibido,En Preparación,PED-162: Pedido Recibido -> En Preparación
1,PED-163,Pedido Recibido,Devuelto,PED-163: Pedido Recibido -> Devuelto
1,PED-164,Pedido Recibido,En Preparación,PED-164: Pedido Recibido -> En Preparación
1,PED-165,Pedido Recibido,Devuelto,PED-165: Pedido Recibido -> Devuelto
1,PED-166,Pedido Recibido,En Preparación,PED-166: Pedido Recibido -> En Preparación
1,PED-167,Pedido Recibido,En Preparación,PED-167: Pedido Recibido -> En Preparación
1,PED-168,Pedido Recibido,En Preparación,PED-168: Pedido Recibido -> En Preparación
1,PED-169,Pedido Recibido,En Preparación,PED-169: Pedido Recibido -> En Preparación
1,PED-170,Pedido Recibido,En Preparación,PED-170: Pedido Recibido -> En Preparación
1,PED-171,Pedido Recibido,En Preparación,PED-171: Pedido Recibido -> En Preparación
1,PED-172,Pedido Recibido,En Preparación,PED-172: Pedido Recibido -> En Preparación
1,PED-173,Pedido Recibido,En Preparación,PED-173: Pedido Recibido -> En Preparación
1,PED-174,Pedido Recibido,En Preparación,PED-174: Pedido Recibido -> En Preparación
1,PED-175,Pedido Recibido,En Preparación,PED-175: Pedido Recibido -> En Preparación
1,PED-176,Pedido Recibido,En Preparación,PED-176: Pedido Recibido -> En Preparación
1,PED-177,Pedido Recibido,En Preparación,PED-177: Pedido Recibido -> En Preparación
1,PED-178,Pedido Recibido,En Preparación,PED-178: Pedido Recibido -> En Preparación
1,PED-179,Pedido Recibido,En Preparación,PED-179: Pedido Recibido -> En Preparación
1,PED-180,Pedido Recibido,En Preparación,PED-180: Pedido Recibido -> En Preparación
1,PED-181,Pedido Recibido,En Preparación,PED-181: Pedido Recibido -> En Preparación
1,PED-182,Pedido Recibido,En Preparación,PED-182: Pedido Recibido -> En Preparación
1,PED-183,Pedido Recibido,Devuelto,PED-183: Pedido Recibido -> Devuelto
1,PED-184,Pedido Recibido,Devuelto,PED-184: Pedido Recibido -> Devuelto
1,PED-185,Pedido Recibido,En Preparación,PED-185: Pedido Recibido -> En Preparación
1,PED-186,Pedido Recibido,En Preparación,PED-186: Pedido Recibido -> En Preparación
1,PED-187,Pedido Recibido,En Preparación,PED-187: Pedido Recibido -> En Preparación
1,PED-188,Pedido Recibido,Devuelto,PED-188: Pedido Recibido -> Devuelto
1,PED-189,Pedido Recibido,Devuelto,PED-189: Pedido Recibido -> Devuelto
1,PED-190,Pedido Recibido,En Preparación,PED-190: Pedido Recibido -> En Preparación
1,PED-191,Pedido Recibido,Devuelto,PED-191: Pedido Recibido -> Devuelto
1,PED-192,Pedido Recibido,En Preparación,PED-192: Pedido Recibido -> En Preparación
1,PED-193,Pedido Recibido,En Preparación,PED-193: Pedido Recibido -> En Preparación
1,PED-194,Pedido Recibido,En Preparación,PED-194: Pedido Recibido -> En Preparación
1,PED-195,Pedido Recibido,En Preparación,PED-195: Pedido Recibido -> En Preparación
1,PED-196,Pedido Recibido,Devuelto,PED-196: Pedido Recibido -> Devuelto
1,PED-197,Pedido Recibido,En Preparación,PED-197: Pedido Recibido -> En Preparación
1,PED-198,Pedido Recibido,En Preparación,PED-198: Pedido Recibido -> En Preparación
1,PED-199,Pedido Recibido,En Preparación,PED-199: Pedido Recibido -> En Preparación
1,PED-200,Pedido Recibido,En Preparación,PED-200: Pedido Recibido -> En Preparación
1,PED-201,Pedido Recibido,En Preparación,PED-201: Pedido Recibido -> En Preparación
1,PED-202,Pedido Recibido,En Preparación,PED-202: Pedido Recibido -> En Preparación
1,PED-203,Pedido Recibido,En Preparación,PED-203: Pedido Recibido -> En Preparación
1,PED-204,Pedido Recibido,En Preparación,PED-204: Pedido Recibido -> En Preparación
1,PED-205,Pedido Recibido,En Preparación,PED-205: Pedido Recibido -> En Preparación
1,PED-206,Pedido Recibido,En Preparación,PED-206: Pedido Recibido -> En Preparación
1,PED-207,Pedido Recibido,En Preparación,PED-207: Pedido Recibido -> En Preparación
1,PED-208,Pedido Recibido,En Preparación,PED-208: Pedido Recibido -> En Preparación
1,PED-209,Pedido Recibido,En Preparación,PED-209: Pedido Recibido -> En Preparación
1,PED-210,Pedido Recibido,En Preparación,PED-210: Pedido Recibido -> En Preparación
1,PED-211,Pedido Recibido,Devuelto,PED-211: Pedido Recibido -> Devuelto
1,PED-212,Pedido Recibido,En Preparación,PED-212: Pedido Recibido -> En Preparación
1,PED-213,Pedido Recibido,En Preparación,PED-213: Pedido Recibido -> En Preparación
1,PED-214,Pedido Recibido,En Preparación,PED-214: Pedido Recibido -> En Preparación
1,PED-215,Pedido Recibido,En Preparación,PED-215: Pedido Recibido -> En Preparación
1,PED-216,Pedido Recibido,En Preparación,PED-216: Pedido Recibido -> En Preparación
1,PED-217,Pedido Recibido,Devuelto,PED-217: Pedido Recibido -> Devuelto
1,PED-218,Pedido Recibido,En Preparación,PED-218: Pedido Recibido -> En Preparación
1,PED-219,Pedido Recibido,En Preparación,PED-219: Pedido Recibido -> En Preparación
1,PED-220,Pedido Recibido,En Preparación,PED-220: Pedido Recibido -> En Preparación
1,PED-221,Pedido Recibido,En Preparación,PED-221: Pedido Recibido -> En Preparación
1,PED-222,Pedido Recibido,En Preparación,PED-222: Pedido Recibido -> En Preparación
1,PED-223,Pedido Recibido,En Preparación,PED-223: Pedido Recibido -> En Preparación
1,PED-224,Pedido Recibido,En Preparación,PED-224: Pedido Recibido -> En Preparación
1,PED-225,Pedido Recibido,En Preparación,PED-225: Pedido Recibido -> En Preparación
1,PED-226,Pedido Recibido,En Preparación,PED-226: Pedido Recibido -> En Preparación
1,PED-227,Pedido Recibido,En Preparación,PED-227: Pedido Recibido -> En Preparación
1,PED-228,Pedido Recibido,En Preparación,PED-228: Pedido Recibido -> En Preparación
1,PED-229,Pedido Recibido,En Preparación,PED-229: Pedido Recibido -> En Preparación
1,PED-230,Pedido Recibido,En Preparación,PED-230: Pedido Recibido -> En Preparación
1,PED-231,Pedido Recibido,En Preparación,PED-231: Pedido Recibido -> En Preparación
1,PED-232,Pedido Recibido,Devuelto,PED-232: Pedido Recibido -> Devuelto
1,PED-233,Pedido Recibido,En Preparación,PED-233: Pedido Recibido -> En Preparación
1,PED-234,Pedido Recibido,En Preparación,PED-234: Pedido Recibido -> En Preparación
1,PED-235,Pedido Recibido,En Preparación,PED-235: Pedido Recibido -> En Preparación
1,PED-236,Pedido Recibido,En Preparación,PED-236: Pedido Recibido -> En Preparación
1,PED-237,Pedido Recibido,En Preparación,PED-237: Pedido Recibido -> En Preparación
1,PED-238,Pedido Recibido,En Preparación,PED-238: Pedido Recibido -> En Preparación
1,PED-239,Pedido Recibido,En Preparación,PED-239: Pedido Recibido -> En Preparación
1,PED-240,Pedido Recibido,En Preparación,PED-240: Pedido Recibido -> En Preparación
1,PED-241,Pedido Recibido,En Preparación,PED-241: Pedido Recibido -> En Preparación
1,PED-242,Pedido Recibido,En Preparación,PED-242: Pedido Recibido -> En Preparación
1,PED-243,Pedido Recibido,En Preparación,PED-243: Pedido Recibido -> En Preparación
1,PED-244,Pedido Recibido,En Preparación,PED-244: Pedido Recibido -> En Preparación
1,PED-245,Pedido Recibido,En Preparación,PED-245: Pedido Recibido -> En Preparación
1,PED-246,Pedido Recibido,En Preparación,PED-246: Pedido Recibido -> En Preparación
1,PED-247,Pedido Recibido,En Preparación,PED-247: Pedido Recibido -> En Preparación
1,PED-248,Pedido Recibido,En Preparación,PED-248: Pedido Recibido -> En Preparación
1,PED-249,Pedido Recibido,En Preparación,PED-249: Pedido Recibido -> En Preparación
1,PED-250,Pedido Recibido,En Preparación,PED-250: Pedido Recibido -> En Preparación
1,PED-251,Pedido Recibido,En Preparación,PED-251: Pedido Recibido -> En Preparación
1,PED-252,Pedido Recibido,En Preparación,PED-252: Pedido Recibido -> En Preparación
1,PED-253,Pedido Recibido,En Preparación,PED-253: Pedido Recibido -> En Preparación
1,PED-254,Pedido Recibido,Devuelto,PED-254: Pedido Recibido -> Devuelto
1,PED-255,Pedido Recibido,En Preparación,PED-255: Pedido Recibido -> En Preparación
1,PED-256,Pedido Recibido,En Preparación,PED-256: Pedido Recibido -> En Preparación
1,PED-257,Pedido Recibido,En Preparación,PED-257: Pedido Recibido -> En Preparación
1,PED-258,Pedido Recibido,En Preparación,PED-258: Pedido Recibido -> En Preparación
1,PED-259,Pedido Recibido,En Preparación,PED-259: Pedido Recibido -> En Preparación
1,PED-260,Pedido Recibido,Devuelto,PED-260: Pedido Recibido -> Devuelto
1,PED-261,Pedido Recibido,En Preparación,PED-261: Pedido Recibido -> En Preparación
1,PED-262,Pedido Recibido,En Preparación,PED-262: Pedido Recibido -> En Preparación
1,PED-263,Pedido Recibido,En Preparación,PED-263: Pedido Recibido -> En Preparación
1,PED-264,Pedido Recibido,En Preparación,PED-264: Pedido Recibido -> En Preparación
1,PED-265,Pedido Recibido,En Preparación,PED-265: Pedido Recibido -> En Preparación
1,PED-266,Pedido Recibido,En Preparación,PED-266: Pedido Recibido -> En Preparación
1,PED-267,Pedido Recibido,Devuelto,PED-267: Pedido Recibido -> Devuelto
1,PED-268,Pedido Recibido,En Preparación,PED-268: Pedido Recibido -> En Preparación
1,PED-269,Pedido Recibido,En Preparación,PED-269: Pedido Recibido -> En Preparación
1,PED-270,Pedido Recibido,En Preparación,PED-270: Pedido Recibido -> En Preparación
1,PED-271,Pedido Recibido,En Preparación,PED-271: Pedido Recibido -> En Preparación
1,PED-272,Pedido Recibido,En Preparación,PED-272: Pedido Recibido -> En Preparación
1,PED-273,Pedido Recibido,En Preparación,PED-273: Pedido Recibido -> En Preparación
1,PED-274,Pedido Recibido,En Preparación,PED-274: Pedido Recibido -> En Preparación
1,PED-275,Pedido Recibido,En Preparación,PED-275: Pedido Recibido -> En Preparación
1,PED-276,Pedido Recibido,En Preparación,PED-276: Pedido Recibido -> En Preparación
1,PED-277,Pedido Recibido,En Preparación,PED-277: Pedido Recibido -> En Preparación
1,PED-278,Pedido Recibido,En Preparación,PED-278: Pedido Recibido -> En Preparación
1,PED-279,Pedido Recibido,Devuelto,PED-279: Pedido Recibido -> Devuelto
1,PED-280,Pedido Recibido,En Preparación,PED-280: Pedido Recibido -> En Preparación
1,PED-281,Pedido Recibido,En Preparación,PED-281: Pedido Recibido -> En Preparación
1,PED-282,Pedido Recibido,En Preparación,PED-282: Pedido Recibido -> En Preparación
1,PED-283,Pedido Recibido,En Preparación,PED-283: Pedido Recibido -> En Preparación
1,PED-284,Pedido Recibido,En Preparación,PED-284: Pedido Recibido -> En Preparación
1,PED-285,Pedido Recibido,En Preparación,PED-285: Pedido Recibido -> En Preparación
1,PED-286,Pedido Recibido,En Preparación,PED-286: Pedido Recibido -> En Preparación
1,PED-287,Pedido Recibido,En Preparación,PED-287: Pedido Recibido -> En Preparación
1,PED-288,Pedido Recibido,Devuelto,PED-288: Pedido Recibido -> Devuelto
1,PED-289,Pedido Recibido,En Preparación,PED-289: Pedido Recibido -> En Preparación
1,PED-290,Pedido Recibido,En Preparación,PED-290: Pedido Recibido -> En Preparación
1,PED-291,Pedido Recibido,En Preparación,PED-291: Pedido Recibido -> En Preparación
1,PED-292,Pedido Recibido,En Preparación,PED-292: Pedido Recibido -> En Preparación
1,PED-293,Pedido Recibido,En Preparación,PED-293: Pedido Recibido -> En Preparación
1,PED-294,Pedido Recibido,En Preparación,PED-294: Pedido Recibido -> En Preparación
1,PED-295,Pedido Recibido,En Preparación,PED-295: Pedido Recibido -> En Preparación
1,PED-296,Pedido Recibido,En Preparación,PED-296: Pedido Recibido -> En Preparación
1,PED-297,Pedido Recibido,En Preparación,PED-297: Pedido Recibido -> En Preparación
1,PED-298,Pedido Recibido,En Preparación,PED-298: Pedido Recibido -> En Preparación
1,PED-299,Pedido Recibido,En Preparación,PED-299: Pedido Recibido -> En Preparación
1,PED-300,Pedido Recibido,En Preparación,PED-300: Pedido Recibido -> En Preparación
1,PED-301,Pedido Recibido,En Preparación,PED-301: Pedido Recibido -> En Preparación
1,PED-302,Pedido Recibido,En Preparación,PED-302: Pedido Recibido -> En Preparación
1,PED-303,Pedido Recibido,En Preparación,PED-303: Pedido Recibido -> En Preparación
1,PED-304,Pedido Recibido,En Preparación,PED-304: Pedido Recibido -> En Preparación
1,PED-305,Pedido Recibido,En Preparación,PED-305: Pedido Recibido -> En Preparación
1,PED-306,Pedido Recibido,En Preparación,PED-306: Pedido Recibido -> En Preparación
1,PED-307,Pedido Recibido,En Preparación,PED-307: Pedido Recibido -> En Preparación
1,PED-308,Pedido Recibido,En Preparación,PED-308: Pedido Recibido -> En Preparación
1,PED-309,Pedido Recibido,En Preparación,PED-309: Pedido Recibido -> En Preparación
1,PED-310,Pedido Recibido,En Preparación,PED-310: Pedido Recibido -> En Preparación
1,PED-311,Pedido Recibido,En Preparación,PED-311: Pedido Recibido -> En Preparación
1,PED-312,Pedido Recibido,En Preparación,PED-312: Pedido Recibido -> En Preparación
1,PED-313,Pedido Recibido,En Preparación,PED-313: Pedido Recibido -> En Preparación
1,PED-314,Pedido Recibido,En Preparación,PED-314: Pedido Recibido -> En Preparación
1,PED-315,Pedido Recibido,Devuelto,PED-315: Pedido Recibido -> Devuelto
1,PED-316,Pedido Recibido,En Preparación,PED-316: Pedido Recibido -> En Preparación
1,PED-317,Pedido Recibido,Devuelto,PED-317: Pedido Recibido -> Devuelto
1,PED-318,Pedido Recibido,Devuelto,PED-318: Pedido Recibido -> Devuelto
1,PED-319,Pedido Recibido,En Preparación,PED-319: Pedido Recibido -> En Preparación
1,PED-320,Pedido Recibido,En Preparación,PED-320: Pedido Recibido -> En Preparación
1,PED-321,Pedido Recibido,En Preparación,PED-321: Pedido Recibido -> En Preparación
1,PED-322,Pedido Recibido,En Preparación,PED-322: Pedido Recibido -> En Preparación
1,PED-323,Pedido Recibido,En Preparación,PED-323: Pedido Recibido -> En Preparación
1,PED-324,Pedido Recibido,En Preparación,PED-324: Pedido Recibido -> En Preparación
